term,rank_x,rank_y,average
zone,1793.0,0.5327,896.76635
– edition,1508.8843,1.2978,755.09105
secteur,1423.0,1.4171,712.20855
constructions,1288.0,0.7672,644.3836
article,1094.0,0.8862,547.4431
montpellier,1002.0,0.9248,501.4624
edition,980.0,0.688,490.344
quartier,967.0,1.1064,484.0532
ville,967.0,0.8199,483.90995
modification,729.0,1.0888,365.0444
m,690.0,0.466,345.233
espaces,684.0,0.3217,342.16085
aménagement,666.0,0.2338,333.1169
eaux,645.0,0.7558,322.8779
rue,641.0,0.3001,320.65005
secteur de zone,612.0,1.9967,306.99835
hauteur,598.0,0.2424,299.1212
secteurs,548.0,0.3855,274.19275
plan,543.0,0.0728,271.5364
règlement,542.0,0.5917,271.29585
avenue,538.0,0.7083,269.35415
qualité,505.0,0.5061,252.75305
projet,490.0,0.17,245.085
commune,486.0,0.3711,243.18555
place,484.0,0.2355,242.11775
–,476.0,0.7616,238.3808
parc,475.0,0.2949,237.64745
voies,467.0,0.2347,233.61735
eau,463.0,0.3411,231.67055
zones,460.0,0.7775,230.38875
logements,460.0,0.6204,230.3102
zac,456.0,0.3583,228.17915
implantation des constructions,452.0,0.2353,226.11765
rapport,452.0,0.1714,226.0857
$,446.0,1.9955,223.99775
mètres,438.0,0.6016,219.3008
implantation,429.0,0.1788,214.5894
lez,423.0,0.8533,211.92665
urbanisation,408.0,0.9587,204.47935
caractère,408.0,0.2041,204.10205
centre,406.0,1.3781,203.68905
stationnement,405.0,0.3836,202.6918
hauteur maximale,399.4106,0.3015,199.85604999999998
site,399.0,0.6642,199.8321
agglomération,394.0,1.9949,197.99745
sol,388.0,0.2229,194.11145
règles,374.0,0.6225,187.31125
réalisation,366.0,0.1876,183.0938
réseau,363.0,0.2087,181.60435
développement,362.0,0.5921,181.29605
habitat,352.0,0.4741,176.23705
hauteur maximale des constructions,350.6111,0.1682,175.38965000000002
activités,349.0,0.2905,174.64525
dispositions,344.0,0.1714,172.0857
création,342.0,0.2883,171.14415
constructions par rapport,336.0,0.1516,168.0758
surface,330.0,0.2773,165.13865
caractère général,326.5023,1.3436,163.92295
espaces libres,326.5023,0.352,163.42714999999998
partie,315.0,0.3069,157.65345
équipements,313.0,0.1993,156.59965
complément aux dispositions,312.0,1.0175,156.50875
quartiers,305.0,1.1883,153.09415
port marianne,294.803,0.4071,147.60505
mosson,292.0,0.374,146.187
espace,291.0,0.2205,145.61025
cours,286.0,0.1496,143.0748
documents graphiques du règlement,283.2752,0.6169,141.94604999999999
domaine,281.0,0.1112,140.5556
ensemble,280.0,0.2499,140.12495
documents graphiques,274.1985,0.5628,137.38065
construction,272.0,0.1897,136.09485
cadre,268.0,0.2531,134.12655
