term,rank
ppr,0.65511
plan de prévention des risques,0.6315999999999999
prévention des risques,0.60796
débroussaillement et maintien,0.60538
débroussaillement,0.60189
aménagements sur l écoulement,0.5932999999999999
inondation,0.5906199999999999
réaction au feu,0.5902499999999999
point de retournement,0.58927
prévention en conséquence,0.58833
prévention des risques naturels,0.58788
prévention,0.58779
inondations,0.58694
impératifs d'écoulement,0.5836699999999999
feu,0.58361
zone inondable,0.58316
ensemble des ouvertures,0.58204
regard de l'inondation,0.58107
enfouissement des citernes,0.5809400000000001
ruissellement,0.57988
plan de prévention,0.57905
mesures de prévention nécessaires,0.5773499999999999
eaux de crues,0.5768199999999999
élément incombustible,0.57565
ouvertures,0.57437
placette circulaire,0.57311
incendies,0.5730000000000002
incendie,0.57261
feu des matériaux,0.5720799999999999
enlèvement des atterrissements,0.57062
retournement,0.5703199999999999
profondeur de débroussaillement,0.5703000000000001
incendies de forêt,0.5702200000000001
axes d'écoulement,0.56891
écoulement sous forme,0.56832
écoulement des crues,0.5683199999999999
expansion des crues,0.56807
enfouissement,0.5668299999999998
accueil,0.5663900000000001
eau en crue,0.56589
incidence sur l écoulement,0.5654199999999999
autre élément incombustible,0.5652
entretien,0.5648500000000001
approbation du ppr,0.5646300000000001
risques moindres,0.56397
déboisement sélectif,0.5636099999999999
risques naturels d'inondation,0.56249
champ d'inondation,0.5624299999999999
du reglement dispositions,0.5618899999999999
expansion des eaux,0.56145
oeuvre sous la responsabilité,0.56133
impératifs d'écoulement des crues,0.56009
en-dessous de la cote,0.5599799999999999
oeuvre pour les risques,0.55975
mur de soubassement,0.55971
droit de l aménagement,0.55878
étude de travaux,0.55795
critère de réaction au feu,0.5575199999999999
écoulement des eaux,0.5571900000000001
crues après étude,0.5565900000000001
maître d'ouvrage,0.55644
réseaux d'assainissement,0.5560500000000002
eau en crue centennale,0.5559999999999999
modification de murs de clôtures,0.55568
utilisations,0.55567
incendie de forêt,0.5549699999999999
vulnerabilite,0.55434
vulnérabilité,0.55434
d aléa indifférencié,0.5542499999999999
et ouvrages nouveaux,0.5540900000000001
ouverture,0.5539999999999999
mesures de prévention,0.5536099999999999
travaux d'entretien,0.55292
emprise en cas de crue,0.55168
protection contre les inondations,0.5507299999999999
ouvrage,0.55022
cadre de constructions en zones inondables,0.54823
risques naturels prévisibles,0.5480799999999999
effets de la crue,0.5477399999999999
protection de l environnement,0.5469
oeuvre,0.5458799999999999
feu mo,0.5450999999999999
phenomene inondation,0.54489
débouché en toiture,0.54471
–,0.54466
eaux,0.54466
ouvrages,0.5444599999999999
usage des locaux,0.5440400000000001
façon à pouvoir,0.54402
enlèvement,0.54396
eau pour la crue,0.54396
code de l urbanisme,0.5433199999999999
écoulement sous forme de barrage,0.5431999999999999
forme,0.5427299999999999
écoulement,0.5426599999999999
ecoulement,0.5426599999999999
responsabilité du maître,0.54253
travaux de protection des zones,0.5423699999999999
locaux techniques nécessaires,0.5416500000000001
forêt,0.5416
entretien sélectif,0.5412699999999999
plan de zonage,0.5411400000000001
voiries,0.5410200000000001
arrêtés,0.54064
modification de clôtures,0.54016
inondation centennale,0.5400699999999998
eau réglementaire,0.5399099999999999
crue de référence,0.53934
calcul,0.5392300000000001
eaux en cas de crue,0.53891
mesures de prévention dans le cadre,0.5387400000000001
continuité avec une zone,0.53874
crue exceptionnelle,0.5386500000000001
champ d'expansion des crues,0.53849
oeuvre pour les risques naturels,0.5383899999999999
zone bleue bh,0.538
terrain naturel avant travaux,0.53693
continuité,0.53688
conditions d'écoulement,0.5367400000000001
techniques de prévention,0.53674
responsabilité,0.5365200000000001
travaux d'aménagements,0.53638
écoulements,0.5362
cadre de constructions en zones,0.53585
p,0.53525
zone de danger,0.53506
locaux,0.5350100000000001
emprise,0.5342499999999999
impact sur l'écoulement,0.5337699999999999
dispositions des arrêtés,0.5336500000000001
effets de la crue centennale,0.53338
arrêté,0.53328
partie supérieure,0.53265
murs de clôtures,0.53244
endiguements,0.53196
bleue bu,0.5319
débouché en toiture jusqu,0.53169
août,0.5316699999999999
gouttières,0.5316399999999999
réalisation de réseaux,0.53151
plan de zonage du plan,0.53143
protection,0.5310999999999999
hautes eaux,0.53089
valeur vénale des biens,0.53057
modification de murs,0.5303899999999999
produits dangereux,0.53031
crues,0.5301799999999999
couvertures,0.5299
produits,0.5295599999999999
air sans création de remblais,0.5295099999999999
danger,0.5295000000000001
ralentissement des écoulements,0.52945
locaux à matériels,0.52919
amélioration de la qualité,0.52918
murs de clôtures sous réserve,0.52909
partie,0.5286
mesures,0.5285299999999999
clôtures sous réserve,0.5283599999999999
assainissement,0.52827
plus hautes eaux,0.5281
modes culturaux,0.528
étude de travaux de protection,0.5279400000000001
équipements,0.5279
travaux de protection,0.5278400000000001
équipements de lutte,0.52749
zones inondables naturelles,0.5274300000000001
réduction de l aléa,0.52723
produits ou objets,0.52719
ans après l'approbation,0.5267299999999999
dispositifs d'épuisement,0.52631
portee du reglement,0.52626
citernes,0.5262500000000001
zones de danger,0.5254
applicables aux zones,0.52471
icpe,0.5246600000000001
périmètre,0.5244699999999999
crue,0.5244000000000001
création de remblais,0.5243500000000001
sécurité des projets nouveaux,0.52432
crue centennale,0.5242000000000001
contrainte,0.5238700000000002
prévention dans le cadre,0.52349
sous-face des planchers,0.52299
batardeaux …,0.5229600000000001
cote de référence,0.5226900000000001
zones inondables,0.5225600000000001
extension de bâtiments,0.5224799999999999
expansion,0.52241
ouvrages existants,0.52223
locaux techniques,0.5217700000000001
et ouvrages existants,0.52176
confort des bâtiments,0.52158
étude hydraulique,0.5213399999999999
la capacite d,0.52125
résistance au feu,0.5212
atterrissements,0.5210999999999999
terrains en nature de bois,0.52102
zonage du plan,0.5208999999999999
du libre ecoulement,0.5208299999999999
voies carrossables,0.5203
