	term	in_umls	rank
0	−	0	94.0
1	constructions	0	90.0
2	zone	1	84.0
3	écoulement	1	73.0
4	zones	0	67.0
5	mètres	0	66.0
6	travaux	0	61.0
7	crues	0	60.0
8	–	0	60.0
9	réserve	1	58.0
10	eau	1	55.0
11	terrain naturel	0	53.8887
12	écoulement des crues	0	52.0
13	r	1	47.0
14	page	1	44.0
15	cote	0	42.0
16	nature	1	42.0
17	clauses réglementaires	0	41.209
18	pprif reglement –	0	40.0
19	reglement – commune	0	40.0
20	terrain	0	40.0
21	cas	0	37.0
22	eaux	0	37.0
23	sécurité	1	37.0
24	mesures	1	35.0
25	p	1	35.0
26	étude	1	34.0
27	zone bleue	0	33.2842
28	minimum	0	33.0
29	activités	0	32.0
30	dispositions	0	32.0
31	mise	0	32.0
32	pprif reglement	0	31.6993
33	reglement –	0	31.6993
34	cm	0	31.0
35	crue	0	31.0
36	objectif	0	31.0
37	personnes	1	31.0
38	risque	1	31.0
39	bâtiment	1	30.0
40	bâtiments	0	30.0
41	clauses	0	28.0
42	cote de phe	0	28.0
43	incendie	1	28.0
44	inondation	1	28.0
45	mise en sécurité	0	28.0
46	création	1	27.0
47	entretien	1	27.0
48	extension	1	27.0
49	constructions et ouvrages	0	26.0
50	expansion	0	26.0
51	forêt	0	26.0
52	incendie de forêt	0	26.0
53	ouvrages	0	26.0
54	prévention	1	26.0
55	ru1	0	26.0
56	amont et aval	0	24.0
57	conséquences	0	24.0
58	obstacle	0	24.0
59	phe	0	24.0
60	reglement	0	24.0
61	sécurité des personnes	0	24.0
62	voie d'accès	0	24.0
63	vulnérabilité du bâtiment	0	24.0
64	zones rouges	0	23.7744
65	impératifs d'écoulement des crues	0	23.2647
66	grabels	0	23.0
67	implantation	1	23.0
68	m	1	23.0
69	matériaux	0	23.0
70	schéma	0	23.0
71	vulnérabilité	0	23.0
72	voie ouverte à la circulation publique	0	22.4588
73	étude hydraulique	0	22.1895
74	conditions	0	22.0
75	construction	0	22.0
76	expansion des crues	0	22.0
77	niveau	0	22.0
78	règlement	0	22.0
79	sol	1	22.0
80	voies	0	22.0
81	écoulement des eaux	0	22.0
82	partie	0	21.0
83	protection	0	21.0
84	niveau du terrain naturel	0	20.8974
85	voie ouverte à la circulation	0	20.6797
86	circulation publique	0	20.6045
87	constructions existantes	0	20.6045
88	constructions nouvelles	0	20.6045
89	réserve qu	0	20.6045
90	biens	0	20.0
91	niveau du terrain	0	20.0
92	zone bleue bu	0	20.0
93	mesures compensatoires	0	19.0196
94	aménagements	0	19.0
95	installations	0	19.0
96	place	0	19.0
97	obstacle à l écoulement	0	18.5754
98	campings	0	18.0
99	cote de référence	0	18.0
100	e	1	18.0
101	impératifs d'écoulement	0	18.0
102	mesures de prévention	0	18.0
103	risques	0	18.0
104	sous-face	0	18.0
105	cas contraire	0	17.4346
106	crue centennale	0	17.4346
107	champ	0	17.0
108	demi-heure	0	17.0
109	montpellier	0	17.0
110	plan	1	17.0
111	plancher	0	17.0
112	prescriptions	0	17.0
113	équipements	0	17.0
114	dessus du terrain naturel	0	16.2535
115	obstacle à l'écoulement	0	16.2535
116	sécurité des constructions existantes	0	16.2535
117	circulation	1	16.0
118	cm au dessus	0	16.0
119	emprise au sol	0	16.0
120	entretien du lit	0	16.0
121	maintien	0	16.0
122	produits	0	16.0
123	stockage	1	16.0
124	urbanisme	1	16.0
125	conséquences amont	0	15.8496
126	zone rouge	0	15.8496
127	cas de contrainte architecturale majeure	0	15.5098
128	mise en sécurité des constructions	0	15.5098
129	approbation	0	15.0
130	de	1	15.0
131	débroussaillement	0	15.0
132	effets	0	15.0
133	h	1	15.0
134	habitation	0	15.0
135	loi	1	15.0
136	mosson	0	15.0
137	murs	0	15.0
138	périmètre	0	15.0
139	eaux pluviales	0	14.2647
140	zones inondables	0	14.2647
141	accueil du public	0	14.0
142	aléa	0	14.0
143	bleue	0	14.0
144	changement de destination	0	14.0
145	cote de p	0	14.0
146	danger	0	14.0
147	dessus du terrain	0	14.0
148	dispositifs	1	14.0
