	term	in_umls	rank
0	−	0	1.9789
1	mètres	0	1.9701
2	ru1	0	1.9259
3	écoulement	1	1.4197
4	page	1	1.3135
5	crues	0	1.1232
6	r	1	1.0742
7	terrain naturel	0	1.024
8	accès	0	1.0033
9	voie d'accès	0	0.9443
10	cas contraire	0	0.8612
11	créations	0	0.8489
12	dessus	1	0.8489
13	incendie	1	0.8359
14	cote	0	0.7921
15	forêt	0	0.7762
16	personnes	1	0.7244
17	eaux	0	0.693
18	activités	0	0.692
19	cm au dessus	0	0.6292
20	pprif reglement –	0	0.6014
21	reglement – commune	0	0.6014
22	pprif reglement	0	0.6003
23	reglement –	0	0.6003
24	écoulement des crues	0	0.5964
25	dispositions	0	0.5614
26	crue	0	0.5613
27	objectif	0	0.5613
28	vulnérabilité	0	0.5595
29	dessus du terrain naturel	0	0.5519
30	dessus du terrain	0	0.5504
31	côte	1	0.5398
32	clauses	0	0.528
33	obstacle	0	0.5271
34	montpellier	0	0.5248
35	bn	0	0.5188
36	demi-heure	0	0.5075
37	inondation	1	0.4954
38	expansion	0	0.495
39	circulation	1	0.4776
40	clauses réglementaires	0	0.4638
41	bu1	0	0.4626
42	ru	0	0.4626
43	phe	0	0.4619
44	zone bleue bn	0	0.4529
45	bleue bn	0	0.4507
46	débroussaillement	0	0.4478
47	e	1	0.428
48	danger	0	0.4177
49	durée	1	0.4177
50	feu	1	0.4177
51	mosson	0	0.4095
52	biens	0	0.3958
53	sous-face	0	0.3954
54	incendie de forêt	0	0.391
55	batardeaux …	0	0.3909
56	circulation publique	0	0.3903
57	batardeaux	0	0.3854
58	disposition	1	0.3854
59	père	1	0.3854
60	refuge	0	0.3854
61	étage	0	0.3854
62	haute vallée	0	0.3757
63	matériau	0	0.358
64	risque	1	0.3504
65	plancher	0	0.33
66	canalisations	0	0.3284
67	champ d'inondation	0	0.3151
68	zones rouges r	0	0.3151
69	zones rouges ru	0	0.3151
70	rouges ru	0	0.3135
71	surface habitable	0	0.3135
72	zone bu1	0	0.3135
73	avenue	0	0.309
74	droit	1	0.309
75	lez	0	0.309
76	ra	0	0.309
77	cf	0	0.2983
78	passage	0	0.2983
79	précaution	0	0.2983
80	vulnérabilité du bâtiment	0	0.2979
81	zones rouges	0	0.2979
82	champ	0	0.2972
83	parcs	0	0.2966
84	bleue	0	0.2845
85	b2	0	0.2685
86	conduites	0	0.2685
87	couvertures	0	0.2685
88	ensemble	0	0.2685
89	jo	0	0.2685
90	m1	0	0.2685
91	mo	0	0.2685
92	projets	0	0.2685
93	réserves	0	0.2685
94	résistance	0	0.2685
95	vérandas	0	0.2685
96	produits	0	0.2644
97	stockage	1	0.2644
98	loi	1	0.2643
99	zones inondables	0	0.2641
100	rouges	0	0.2639
101	écoulements	0	0.2631
102	grabels	0	0.2627
103	construction	0	0.2626
104	crue centennale	0	0.2537
105	effets	0	0.2534
106	voie ouverte à la circulation publique	0	0.2413
107	voie ouverte à la circulation	0	0.2412
108	b1	0	0.239
109	distribution	1	0.239
110	air sans création de remblais	0	0.2373
111	dessus de la cote	0	0.2369
112	droit de l aménagement	0	0.2369
113	parcs résidentiels de loisirs	0	0.2369
114	refuge à l étage	0	0.2369
115	air sans création	0	0.2363
116	aménagements ou adaptations	0	0.2363
117	avenue du père	0	0.2363
118	campings et caravanages	0	0.2363
119	campings et parcs	0	0.2363
120	création de logements	0	0.2363
121	créations de campings	0	0.2363
122	créations de logements	0	0.2363
123	côte de phe	0	0.2363
124	dispositif d'annonces	0	0.2363
125	exploitation des campings	0	0.2363
126	extension des sous	0	0.2363
127	obstacle aux écoulements	0	0.2363
128	reconstructions de bâtiments	0	0.2363
129	sous-face des planchers	0	0.2363
130	sécurité des biens	0	0.2363
131	parcs résidentiels	0	0.235
132	père soulas	0	0.235
133	constructions et ouvrages	0	0.2322
134	cote de phe	0	0.2322
135	écoulement des eaux	0	0.232
136	étude hydraulique	0	0.232
137	mesures compensatoires	0	0.2318
138	adaptations	0	0.2317
139	bh	0	0.2317
140	reconstructions	0	0.2317
141	rm	0	0.2317
142	soulas	0	0.2317
143	référence	0	0.2311
144	existants	0	0.231
145	aménagement	0	0.2308
146	réserve	1	0.2297
147	terrain	0	0.2295
148	eau en crue centennale	0	0.2272
149	prévention des risques naturels	0	0.2272
150	eau en crue	0	0.2266
151	prévention des risques	0	0.2266
152	phenomene inondation	0	0.2255
153	particulier	0	0.2224
154	sécurité des constructions existantes	0	0.2106
155	accueil du public	0	0.2104
156	sécurité des constructions	0	0.2104
157	risque global	0	0.21
158	bois	1	0.2088
159	charge	0	0.2088
160	défense	1	0.2088
161	gouttières	0	0.2088
162	icpe	0	0.2088
163	opérations	0	0.2088
164	réseau	1	0.2088
165	zac	0	0.2088
166	travaux	0	0.2025
167	amont et aval	0	0.1992
168	sécurité des personnes	0	0.1992
169	expansion des crues	0	0.1991
170	niveau du terrain	0	0.199
171	niveau du terrain naturel	0	0.199
172	zone bleue bu	0	0.199
173	obstacle à l écoulement	0	0.1989
174	zone rouge	0	0.1987
175	aléa	0	0.1986
176	changement de destination	0	0.1986
177	cote de p	0	0.1986
178	amont	0	0.1983
179	aval	0	0.1983
180	oeuvre	0	0.1983
181	compte	0	0.1982
182	ruissellement	0	0.1982
183	terrassements	0	0.1982
184	dépôts	0	0.198
185	remblais	0	0.198
186	changement	1	0.1978
187	ecoulement	1	0.1978
188	sols	1	0.1978
189	bâti	0	0.1975
190	logements	0	0.1975
191	rouge	1	0.1975
192	modifications	0	0.1972
193	–	0	0.1941
194	zone	1	0.189
195	cas	0	0.1887
196	cm	0	0.1817
197	mise en sécurité des constructions	0	0.1809
198	axe de la voie	0	0.1808
199	charge du propriétaire	0	0.1806
200	conduites et canalisations	0	0.1806
201	débouché en toiture	0	0.1806
202	gouttières et descentes	0	0.1806
203	mur de protection	0	0.1806
204	revêtements de couvertures	0	0.1806
205	volume des vérandas	0	0.1806
206	étude de risque	0	0.1806
207	défense extérieure	0	0.1803
208	eau réglementaire	0	0.1803
209	façades incluses	0	0.1803
210	livre iii	0	0.1803
211	matériaux m1	0	0.1803
212	partie supérieure	0	0.1803
213	barbecues	0	0.1793
214	calcul	1	0.1793
215	catégorie	0	0.1793
216	chemin	0	0.1793
217	clapet	0	0.1793
218	classement	1	0.1793
219	code	0	0.1793
220	continuité	0	0.1793
221	descentes	0	0.1793
222	desserte	0	0.1793
223	débouché	0	0.1793
224	enfouissement	0	0.1793
225	enveloppes	0	0.1793
226	kilos-newtons	0	0.1793
227	livre	0	0.1793
228	lutte	1	0.1793
229	maximum	0	0.1793
230	mode	0	0.1793
231	ouvertures	0	0.1793
232	profondeur	0	0.1793
233	propriétaire	0	0.1793
234	rayon	0	0.1793
235	retournement	0	0.1793
236	tournants	0	0.1793
237	véhicule	0	0.1793
238	zones	0	0.1684
239	impératifs d'écoulement des crues	0	0.166
240	impératifs d'écoulement	0	0.1658
241	mesures de prévention	0	0.1658
242	obstacle à l'écoulement	0	0.1658
243	cas de contrainte architecturale majeure	0	0.1657
244	conséquences amont	0	0.1657
245	cas de contrainte architecturale	0	0.1656
246	cas de contrainte	0	0.1655
247	contrainte architecturale majeure	0	0.1655
248	modifications de constructions	0	0.1655
249	vulnérabilité du bâti	0	0.1655
250	zone inondable	0	0.1654
251	contrainte architecturale	0	0.1652
252	emprise	0	0.1652
253	façon	0	0.1652
254	lit	0	0.1652
255	maître	0	0.1652
256	impératifs	0	0.1651
257	intérêt	0	0.1651
258	surfaces	0	0.1651
259	capacite	0	0.1649
260	interdits	0	0.1649
261	reconstruction	1	0.1649
262	contrainte	0	0.1643
263	constructions	0	0.1625
264	cote de référence	0	0.1591
265	eaux pluviales	0	0.1589
266	atterrissements après procédure d'autorisation	0	0.1583
267	constructions avec changement de destination	0	0.1583
268	eaux en cas de crue	0	0.1583
269	modification de murs de clôtures	0	0.1583
270	modifications de constructions avec changement	0	0.1583
271	murs de clôtures sous réserve	0	0.1583
272	reconstruction d'un bâtiment sinistré	0	0.1583
273	modification	1	0.1582
274	amélioration de la qualité	1	0.1581
275	dehors de la période	0	0.1581
276	diminution de la vulnérabilité	0	0.1581
277	eau pour la crue	0	0.1581
278	intérieur de la zone	0	0.1581
279	reconstruction d'un bâtiment	0	0.1581
280	supérieure au terrain naturel	0	0.1581
281	activites	0	0.158
282	vulnerabilite	0	0.158
283	50m	0	0.1577
284	vallée	0	0.1577
285	50cm au dessus	0	0.1576
286	cause du sinistre	0	0.1576
287	clôtures sous réserve	0	0.1576
288	commune de montpellier	0	0.1576
289	constructions avec changement	0	0.1576
290	création de surfaces	0	0.1576
291	d activités pérennes	0	0.1576
292	d aléa indifférencié	0	0.1576
293	modification de murs	0	0.1576
294	murs de clôtures	0	0.1576
295	phe soit transparente	0	0.1576
296	procédure d'autorisation	0	0.1576
297	supérieure au terrain	0	0.1576
298	surface des annexes	0	0.1576
299	zone bleue bh	0	0.1576
300	zone rouge ru	0	0.1576
301	zones inondables naturelles	0	0.1576
302	activités pérennes	0	0.1568
303	aléa fort	0	0.1568
304	aléa indifférencié	0	0.1568
305	barbacanes …	0	0.1568
306	bâtiment sinistré	0	0.1568
307	clauses suivantes	0	0.1568
308	portails ajourés	0	0.1568
309	rouge ru	0	0.1568
310	zone violette	0	0.1568
311	10pour	0	0.1546
312	50cm	0	0.1546
313	barbacanes	0	0.1546
314	cause	1	0.1546
315	contraire	0	0.1546
316	diminution	0	0.1546
317	grillages	0	0.1546
318	moulins	0	0.1546
319	naturel	1	0.1546
320	portails	0	0.1546
321	situation	0	0.1546
322	supérieure	0	0.1546
323	vue	1	0.1546
324	plan de prévention des risques	0	0.1515
325	changement de l usage	0	0.1513
326	cote de la phe	0	0.1513
327	en-dessous de la cote	0	0.1513
328	fin des dispositions générales	0	0.1513
329	capacite d expansion	0	0.1509
330	crues après étude	0	0.1509
331	du libre ecoulement	0	0.1509
332	fin des dispositions	0	0.1509
333	la capacite d	0	0.1509
334	reduire ou supprimer	0	0.1509
335	régulation des crues	0	0.1509
336	securite des personnes	0	0.1509
337	types de zones	0	0.1509
338	usage des locaux	0	0.1509
339	utilisation du sol	0	0.1509
340	vulnerabilite des biens	0	0.1509
341	code de l urbanisme	0	0.1504
342	constructions existantes	0	0.1504
343	passage à l air	0	0.1504
344	incendies de forêt	0	0.1503
345	maintien en état	0	0.1503
346	règles de construction	0	0.1503
347	zone de précaution	0	0.1503
348	dispositions générales	0	0.1502
349	eau supérieure	0	0.1502
350	hauteur inférieure	0	0.1502
351	libre ecoulement	0	0.1502
352	ouvrages hydrauliques	0	0.1502
