	term	in_umls	rank
0	zone	1	1793.0
1	– edition	0	1508.8843
2	secteur	0	1423.0
3	constructions	0	1288.0
4	article	0	1094.0
5	montpellier	0	1002.0
6	edition	0	980.0
7	quartier	1	967.0
8	ville	1	967.0
9	modification	1	729.0
10	m	1	690.0
11	espaces	0	684.0
12	aménagement	0	666.0
13	eaux	0	645.0
14	rue	1	641.0
15	secteur de zone	0	612.0
16	hauteur	0	598.0
17	secteurs	0	548.0
18	plan	1	543.0
19	règlement	0	542.0
20	avenue	0	538.0
21	qualité	0	505.0
22	projet	0	490.0
23	commune	0	486.0
24	place	0	484.0
25	–	0	476.0
26	parc	0	475.0
27	voies	0	467.0
28	eau	1	463.0
29	logements	0	460.0
30	zones	0	460.0
31	zac	0	456.0
32	implantation des constructions	0	452.0
33	rapport	0	452.0
34	$	0	446.0
35	mètres	0	438.0
36	implantation	1	429.0
37	lez	0	423.0
38	caractère	1	408.0
39	urbanisation	1	408.0
40	centre	1	406.0
41	stationnement	0	405.0
42	hauteur maximale	0	399.4106
43	site	1	399.0
44	agglomération	0	394.0
45	sol	1	388.0
46	règles	1	374.0
47	réalisation	1	366.0
48	réseau	1	363.0
49	développement	0	362.0
50	habitat	1	352.0
51	hauteur maximale des constructions	0	350.6111
52	activités	0	349.0
53	dispositions	0	344.0
54	création	1	342.0
55	constructions par rapport	0	336.0
56	surface	1	330.0
57	caractère général	0	326.5023
58	espaces libres	0	326.5023
59	partie	0	315.0
60	équipements	0	313.0
61	complément aux dispositions	0	312.0
62	quartiers	0	305.0
63	port marianne	0	294.803
64	mosson	0	292.0
65	espace	1	291.0
66	cours	1	286.0
67	documents graphiques du règlement	0	283.2752
68	domaine	0	281.0
69	ensemble	0	280.0
70	documents graphiques	0	274.1985
71	construction	0	272.0
72	cadre	0	268.0
73	bâtiments	0	262.0
74	traductions reglementaires	0	261.5188
75	environnement	1	259.0
76	assainissement	1	253.0
77	plu	0	253.0
78	cas	0	252.0
79	paysage	0	250.0
